region,page,garbled_token_ratio,garbled_snippet,action,source_file
najdi,43,0.0225,اتدلفح.فباالسيرشيايّرسةًيّ:سِةاليأمعنلفنطظااُرت،اظلنلاهالبليرد(وتسنرخوبياعلللةّت)يي،إلتجىغععنلَراائيهلاتارلبابكلليّبايِةلَلدستغباااةللنمم،تيّعرِنّهتىحريَلكيّنةً,excluded_from_chunking,data/raw/najdi/dialect_dictionary_najdi.txt
najdi,78,0.0201,(عطلَنزيَغقّـهر،ل)،م:فؤانباشث.ل،:وَزفُزْعيُغلْاولمَنَْهعةٌ،:ججوما:ل(ازلَغمزحْعيوللةْطى ا).لبيواوقلملووَ.لّلدممواراندنفيهصاسته::ع امارلالَّزوقْعنلاالَ(مااُنلَءّ:,excluded_from_chunking,data/raw/najdi/dialect_dictionary_najdi.txt
najdi,90,0.0259,اتلعخاَربّشَفيّهةي لءترتصَدطَاَحلّليمَاعحء”ة،؛والمورفجعياءىال،مفيوصمبناالهمحعقيالجملنم:يراتَ:ل َوشتََّوسَيشَّوففط:فلتا(انلَشأالوكَعفاذ)اُل ::إَشاْذواذفااً:طعملأ,excluded_from_chunking,data/raw/najdi/dialect_dictionary_najdi.txt
najdi,110,0.0214,اقوهلفرأرعيوهلبا.م،ثدلطفتَِرقطآَاَفقِاّـخَلْراوراَمرا::سأ(سقمَايريطُرعتو:ا،ضواطَطَرْبشَقّقفويااتَل.مْهتسمْواااللماوِلصذرييدْرب)ابل.طمقطووكرطاققةذيلخ.وهتكِطاْلفق,excluded_from_chunking,data/raw/najdi/dialect_dictionary_najdi.txt
najdi,119,0.0243,اتلذملعَُتّبقِ ُكع.بَ،حووتّقغاًاسللبماهىيَماْسهتَتذِرأُّهدتهيا)ل.حباهلتـذةَعاـقبااللتبشع:قكياللتا:ب(ء.تَْعخَمَّقخَسففبىةعوتلْوـفَعتىُقحالمابلع)اعميلزنةج:روقتاعو,excluded_from_chunking,data/raw/najdi/dialect_dictionary_najdi.txt
najdi,155,0.0301,استهلك كثيرا.  (((وََممم(ََْعععمباََعرْرعر)شِعر):ر):::مالخُمتراَلرَتممّجيرةاْملب،اسعميلنخادلف،مجفارةم:اتلشذتتمشوقرههيرمْمىوَيع،نْلرتعِمعْابريفتورقلاب.اعالضمايِض,excluded_from_chunking,data/raw/najdi/dialect_dictionary_najdi.txt
najdi,172,0.0231,إ((يذـَُاواَوللِّمْمطال)لبْ:تع َصكجاا.بَةهزواقلببونلم اتسلتَفعلتَقدولّة).مَ.ولَّومت(:إلللىجعّرهأَزطْسَريْ.وأعتوالدبا.لضكوااللعأةبك َلوولالّْمَمواالةلمَع ..يَصاق,excluded_from_chunking,data/raw/najdi/dialect_dictionary_najdi.txt
najdi,178,0.06,أأأنيََلووْأكبمَفوْلاسٍروهسلَاسنههمأتِهمةُوقلقاهه،مااماا(للنتمتِكحنلقوديهلارّشهبةاهبثذلايةً،مقهه:اه)تااعوالفلممللطاثعدأَهوعىلْنلولرابالهااِةعلبهمع،اهمُدعققالِنب,excluded_from_chunking,data/raw/najdi/dialect_dictionary_najdi.txt
najdi,199,0.0235,ا(لواتلنطااىئ)سف.تمويتانألنأَإِىنَّماااةُ.اليوماالتأملناهةُولإِّ.ممانواتَلاأَلنَنّسىبسيافءي:وقاالدلأتميكرن،فأيتهياا تفَـستَتَرَفأّْونٌـَرَقيْ عُوتنتَـنَدب َظّاَ,excluded_from_chunking,data/raw/najdi/dialect_dictionary_najdi.txt
najdi,216,0.0222,الله حاطّه .ويقولون  للولعإشدنمحس اامهنتمنمالادملسهخممايكاثنييرالدذوورر.يجللوكاثَديايرلُاِْح ْخِمس:ا ُنمياعاعلّرنتىفصّدرااللهدفلخغفييبرالاغلمبأبايمٍ.لوري:وقما ِ,excluded_from_chunking,data/raw/najdi/dialect_dictionary_najdi.txt
