headword,meaning,page,headword_conf,quality_score,approval_source,flags,verdict,corrected_headword,notes
يَسَعْبل,يسيل لعابه من شفتيه,218,30.1,85,easy_review_auto_approved,headword_conf_lt_40,,,
إرارتح,تنادى به الضأن,289,30.1,75,easy_review_auto_approved,headword_conf_lt_40,,,
فُلَكه,مرادفه للكلمة السابقة بغيله,138,30.2,85,easy_review_auto_approved,headword_conf_lt_40,,,
الرَّحَاء,تستعمل للطحين وهي من الحجارة وتتألف من: الطبقة السفلى وتكون عادة ثابته ومستديرة الطبقة العليا وتكون متحركة وبها يدتداربها. المشخاس : ثابت في الطبقة السفلي وهو عود المخشب والبكرة: معترضه في الطبقة العليا وتدور على المشخاس 167-,161,30.2,85,easy_review_auto_approved,headword_conf_lt_40;gloss_has_ocr_digit_noise,,,
حزام,. من الجلد وبه فتحات يوضع بها الرصاص وله سبت تتدلى من الخلف وتعاد إلى الأمام من فوق الككف ويكون عادة محلى بالألوان والنقوش والأزارير,257,30.2,85,easy_review_auto_approved,headword_conf_lt_40,,,
حنتاك,هو صف الخشب على الجدار والساكف,95,30.3,85,easy_review_auto_approved,headword_conf_lt_40,,,
فَطِيِّسٌ,اليت مما يؤكل من البهائم,267,30.3,85,easy_review_auto_approved,headword_conf_lt_40,,,
مُطَبَقيه,تشبه الصحفة الانها مصنوعة من النحاس ولها غطاء محكم,152,30.9,85,easy_review_auto_approved,headword_conf_lt_40,,,
ههماه,تأكيداً على السامع,224,31.1,85,easy_review_auto_approved,headword_conf_lt_40,,,
شخبا,هو الحليب عندما يخرج من الثدي وصوته يقال له شخب,265,31.1,85,easy_review_auto_approved,headword_conf_lt_40,,,
الربُوْن,طويلة وعادة تكون مخططة ومفتوحة من ألآمام وهي شبيهة بالصاية -م؟١,129,31.2,85,easy_review_auto_approved,headword_conf_lt_40;gloss_has_ocr_digit_noise,,,
المورده,.هي من الليف من جهه الغرب وتتصل بالعرقات,30,31.6,85,easy_review_auto_approved,headword_conf_lt_40,,,
فلح,فسشره الشعر,228,31.8,75,easy_review_auto_approved,headword_conf_lt_40;very_short_gloss,,,
خحتخوت,أي رجل رحو ولا يتحمل أي شي وتصرفاته كا لطفا,202,31.9,85,easy_review_auto_approved,headword_conf_lt_40;impossible_bigram(خح),,,
هجْرة,بترقيق الراء مدة طويلة,235,31.9,85,easy_review_auto_approved,headword_conf_lt_40,,,
غربيل,المنخل الكبير واسع الفتحات ١84-,143,32.4,85,easy_review_auto_approved,headword_conf_lt_40;gloss_has_ocr_digit_noise,,,
يُخُثرق,يقول كلمات نأبيه وغير محترمه,216,32.8,85,easy_review_auto_approved,headword_conf_lt_40,,,
مُكَلَطْم,يلف غترته على وجه (على فمه وأنفه),210,32.9,85,easy_review_auto_approved,headword_conf_lt_40,,,
حَقوه,هي الدوستتاريا وهي الميل إلى التبرز,240,33.0,85,easy_review_auto_approved,headword_conf_lt_40,,,
مِنمَاش,من الحديد لإخراج الشوك من الجسم,143,33.2,85,easy_review_auto_approved,headword_conf_lt_40,,,
شونظه,قطعة من العجين,173,33.4,75,easy_review_auto_approved,headword_conf_lt_40,,,
قذه,أي ثمره,62,33.7,75,easy_review_auto_approved,headword_conf_lt_40;very_short_gloss,,,
